#index raw norm_full norm_ldro gray_ldro
1032 43 42 10 15
1033 14 13 3 2
1034 22 21 5 7
1035 62 61 15 8
1036 79 78 19 26
1037 110 109 27 22
1038 54 53 13 11
1039 46 45 11 14
1040 12 11 2 3
1041 64 63 15 8
1042 64 63 15 8
1043 64 63 15 8
1044 64 63 15 8
1045 64 63 15 8
1046 64 63 15 8
1047 64 63 15 8
1048 64 63 15 8
1049 72 71 17 25
1050 80 79 19 26
1051 83 82 20 30
1052 8 7 1 1
1053 78 77 19 26
1054 121 120 30 17
1055 45 44 11 14
1056 61 60 15 8
1057 45 44 11 14
1058 17 16 4 6
1059 61 60 15 8
1060 1 0 0 0
1061 73 72 18 27
1062 14 13 3 2
1063 34 33 8 12
1064 120 119 29 19
1065 25 24 6 5
1066 0 127 31 16
1067 51 50 12 10
1068 95 94 23 28
1069 17 16 4 6
1070 48 47 11 14
1071 115 114 28 18
1072 54 53 13 11
1073 121 120 30 17
1074 80 79 19 26
1075 12 11 2 3
1076 69 68 17 25
1077 105 104 26 23
1078 2 1 0 0
1079 59 58 14 9
1080 1 0 0 0
1081 66 65 16 24
1082 17 16 4 6
1083 7 6 1 1
1084 122 121 30 17
1085 113 112 28 18
1086 54 53 13 11
1087 34 33 8 12
1088 32 31 7 4
1089 33 32 8 12
1090 64 63 15 8
1091 48 47 11 14
1092 66 65 16 24
1093 83 82 20 30
1094 40 39 9 13
1095 109 108 27 22
1096 79 78 19 26
1097 121 120 30 17
1098 99 98 24 20
1099 76 75 18 27
1100 105 104 26 23
1101 86 85 21 31
1102 41 40 10 15
1103 115 114 28 18
1104 101 100 25 21
1105 20 19 4 6
1106 14 13 3 2
1107 53 52 13 11
1108 47 46 11 14
1109 45 44 11 14
