#index raw norm_full norm_ldro gray_ldro
1182 58 57 14 9
1183 16 15 3 2
1184 77 76 19 26
1185 6 5 1 1
1186 42 41 10 15
1187 67 66 16 24
1188 124 123 30 17
1189 66 65 16 24
1190 3 2 0 0
1191 82 81 20 30
1192 72 71 17 25
1193 59 58 14 9
1194 50 49 12 10
1195 119 118 29 19
1196 99 98 24 20
1197 97 96 24 20
1198 98 97 24 20
1199 1 0 0 0
1200 113 112 28 18
1201 100 99 24 20
1202 58 57 14 9
1203 85 84 21 31
1204 9 8 2 3
1205 17 16 4 6
1206 33 32 8 12
1207 6 5 1 1
1208 19 18 4 6
1209 114 113 28 18
1210 28 27 6 5
1211 110 109 27 22
1212 33 32 8 12
1213 40 39 9 13
1214 68 67 16 24
1215 9 8 2 3
1216 63 62 15 8
1217 82 81 20 30
1218 70 69 17 25
1219 94 93 23 28
1220 123 122 30 17
1221 98 97 24 20
1222 97 96 24 20
1223 97 96 24 20
1224 97 96 24 20
1225 97 96 24 20
1226 97 96 24 20
1227 97 96 24 20
1228 97 96 24 20
1229 104 103 25 21
1230 113 112 28 18
1231 37 36 9 13
1232 121 120 30 17
1233 26 25 6 5
1234 78 77 19 26
1235 94 93 23 28
1236 78 77 19 26
1237 50 49 12 10
1238 94 93 23 28
1239 34 33 8 12
1240 106 105 26 23
1241 47 46 11 14
1242 67 66 16 24
1243 25 24 6 5
1244 58 57 14 9
1245 33 32 8 12
1246 83 82 20 30
1247 0 127 31 16
1248 51 50 12 10
1249 80 79 19 26
1250 20 19 4 6
1251 87 86 21 31
1252 26 25 6 5
1253 112 111 27 22
1254 45 44 11 14
1255 102 101 25 21
1256 10 9 2 3
1257 35 34 8 12
1258 91 90 22 29
1259 34 33 8 12
1260 99 98 24 20
1261 50 49 12 10
1262 40 39 9 13
1263 27 26 6 5
1264 18 17 4 6
1265 87 86 21 31
1266 67 66 16 24
1267 65 64 16 24
1268 66 65 16 24
1269 97 96 24 20
1270 81 80 20 30
1271 58 57 14 9
1272 89 88 22 29
1273 10 9 2 3
1274 96 95 23 28
1275 104 103 25 21
1276 24 23 5 7
1277 96 95 23 28
1278 55 54 13 11
1279 72 71 17 25
1280 36 35 8 12
1281 2 1 0 0
1282 18 17 4 6
1283 107 106 26 23
1284 53 52 13 11
1285 79 78 19 26
1286 107 106 26 23
1287 78 77 19 26
1288 32 31 7 4
1289 112 111 27 22
1290 22 21 5 7
1291 64 63 15 8
1292 65 64 16 24
1293 65 64 16 24
1294 65 64 16 24
1295 65 64 16 24
1296 65 64 16 24
1297 65 64 16 24
1298 65 64 16 24
1299 72 71 17 25
1300 80 79 19 26
1301 9 8 2 3
1302 114 113 28 18
1303 123 122 30 17
1304 46 45 11 14
1305 62 61 15 8
1306 62 61 15 8
1307 18 17 4 6
1308 62 61 15 8
1309 63 62 15 8
1310 2 1 0 0
1311 74 73 18 27
1312 15 14 3 2
1313 122 121 30 17
1314 26 25 6 5
1315 26 25 6 5
1316 52 51 12 10
1317 51 50 12 10
1318 95 94 23 28
1319 48 47 11 14
1320 50 49 12 10
1321 115 114 28 18
1322 123 122 30 17
1323 80 79 19 26
1324 80 79 19 26
1325 70 69 17 25
1326 106 105 26 23
1327 106 105 26 23
1328 60 59 14 9
1329 2 1 0 0
1330 66 65 16 24
1331 67 66 16 24
1332 9 8 2 3
1333 7 6 1 1
1334 114 113 28 18
1335 54 53 13 11
1336 34 33 8 12
1337 34 33 8 12
1338 33 32 8 12
1339 64 63 15 8
1340 65 64 16 24
1341 49 48 12 10
1342 81 80 20 30
1343 24 23 5 7
1344 75 74 18 27
1345 66 65 16 24
1346 8 7 1 1
1347 97 96 24 20
1348 100 99 24 20
1349 19 18 4 6
1350 85 84 21 31
1351 73 72 18 27
1352 110 109 27 22
1353 10 9 2 3
1354 49 48 12 10
