#index raw norm_full norm_ldro gray_ldro
875 22 21 5 7
876 2 1 0 0
877 0 127 31 16
878 1 0 0 0
879 32 31 7 4
880 16 15 3 2
881 81 80 20 30
882 66 65 16 24
883 71 70 17 25
884 109 108 27 22
885 122 121 30 17
886 103 102 25 21
887 89 88 22 29
888 98 97 24 20
889 41 40 10 15
890 39 38 9 13
891 73 72 18 27
892 68 67 16 24
893 5 4 1 1
894 107 106 26 23
895 127 126 31 16
896 107 106 26 23
897 38 37 9 13
898 38 37 9 13
899 82 81 20 30
900 95 94 23 28
901 0 127 31 16
902 0 127 31 16
903 0 127 31 16
904 0 127 31 16
905 0 127 31 16
906 0 127 31 16
907 0 127 31 16
908 0 127 31 16
909 8 7 1 1
910 16 15 3 2
911 6 5 1 1
912 38 37 9 13
913 57 56 14 9
914 109 108 27 22
915 125 124 31 16
916 109 108 27 22
917 81 80 20 30
918 125 124 31 16
919 65 64 16 24
920 9 8 2 3
921 78 77 19 26
922 98 97 24 20
923 56 55 13 11
924 89 88 22 29
925 64 63 15 8
926 115 114 28 18
927 31 30 7 4
928 82 81 20 30
929 112 111 27 22
930 51 50 12 10
931 118 117 29 19
932 57 56 14 9
933 15 14 3 2
934 76 75 18 27
935 5 4 1 1
936 41 40 10 15
937 66 65 16 24
938 123 122 30 17
939 65 64 16 24
940 2 1 0 0
941 81 80 20 30
942 71 70 17 25
943 58 57 14 9
944 49 48 12 10
945 118 117 29 19
946 98 97 24 20
947 96 95 23 28
948 97 96 24 20
949 0 127 31 16
950 112 111 27 22
951 112 111 27 22
952 117 116 29 19
953 117 116 29 19
954 24 23 5 7
955 53 52 13 11
956 64 63 15 8
957 95 94 23 28
958 101 100 25 21
959 2 1 0 0
960 90 89 22 29
961 13 12 3 2
962 4 3 0 0
963 75 74 18 27
964 91 90 22 29
965 121 120 30 17
966 90 89 22 29
967 47 46 11 14
968 2 1 0 0
969 40 39 9 13
970 10 9 2 3
971 96 95 23 28
972 96 95 23 28
973 96 95 23 28
974 96 95 23 28
975 96 95 23 28
976 96 95 23 28
977 96 95 23 28
978 96 95 23 28
979 104 103 25 21
980 112 111 27 22
981 102 101 25 21
982 112 111 27 22
983 25 24 6 5
984 25 24 6 5
985 93 92 23 28
986 93 92 23 28
987 77 76 19 26
988 49 48 12 10
989 32 31 7 4
990 104 103 25 21
991 46 45 11 14
992 66 65 16 24
993 24 23 5 7
994 24 23 5 7
995 57 56 14 9
996 83 82 20 30
997 126 125 31 16
998 127 126 31 16
999 50 49 12 10
1000 81 80 20 30
1001 19 18 4 6
1002 86 85 21 31
1003 25 24 6 5
1004 44 43 10 15
1005 44 43 10 15
1006 8 7 1 1
1007 34 33 8 12
1008 34 33 8 12
1009 33 32 8 12
1010 33 32 8 12
1011 50 49 12 10
1012 39 38 9 13
1013 26 25 6 5
1014 17 16 4 6
1015 86 85 21 31
1016 67 66 16 24
1017 65 64 16 24
1018 64 63 15 8
1019 64 63 15 8
1020 80 79 19 26
1021 80 79 19 26
1022 11 10 2 3
1023 28 27 6 5
1024 122 121 30 17
1025 115 114 28 18
1026 127 126 31 16
1027 98 97 24 20
1028 57 56 14 9
1029 48 47 11 14
1030 54 53 13 11
1031 69 68 17 25
1032 44 43 10 15
1033 113 112 28 18
1034 52 51 12 10
1035 115 114 28 18
1036 90 89 22 29
1037 49 48 12 10
1038 8 7 1 1
1039 73 72 18 27
1040 120 119 29 19
1041 64 63 15 8
1042 64 63 15 8
1043 64 63 15 8
1044 64 63 15 8
1045 64 63 15 8
1046 64 63 15 8
1047 64 63 15 8
1048 64 63 15 8
1049 65 64 16 24
1050 80 79 19 26
1051 79 78 19 26
1052 35 34 8 12
1053 122 121 30 17
1054 121 120 30 17
1055 45 44 11 14
1056 61 60 15 8
1057 45 44 11 14
1058 17 16 4 6
1059 61 60 15 8
1060 1 0 0 0
1061 73 72 18 27
1062 14 13 3 2
1063 34 33 8 12
1064 120 119 29 19
1065 25 24 6 5
1066 0 127 31 16
1067 51 50 12 10
1068 95 94 23 28
1069 18 17 4 6
1070 48 47 11 14
1071 115 114 28 18
1072 54 53 13 11
1073 121 120 30 17
1074 79 78 19 26
1075 12 11 2 3
1076 69 68 17 25
1077 105 104 26 23
1078 2 1 0 0
1079 59 58 14 9
1080 1 0 0 0
1081 66 65 16 24
1082 17 16 4 6
1083 7 6 1 1
1084 122 121 30 17
1085 113 112 28 18
1086 54 53 13 11
1087 34 33 8 12
1088 32 31 7 4
1089 33 32 8 12
1090 64 63 15 8
1091 48 47 11 14
1092 70 69 17 25
1093 66 65 16 24
1094 82 81 20 30
1095 99 98 24 20
1096 117 116 29 19
1097 38 37 9 13
1098 114 113 28 18
1099 102 101 25 21
1100 115 114 28 18
1101 66 65 16 24
1102 83 82 20 30
1103 103 102 25 21
1104 25 24 6 5
1105 84 83 20 30
1106 50 49 12 10
1107 51 50 12 10
1108 34 33 8 12
1109 77 76 19 26
