#cfo preamble_symbols=7 cfo_int=0 cfo_frac=1.09543e-08 sfo_slope=0
#index best_bin second_bin corrected_bin best_mag second_mag delta
306 438 287 438 7.49292e-07 7.12968e-07 -0.0461032
307 133 991 133 9.2665e-07 7.33105e-07 0.00570487
308 378 931 378 7.14088e-07 7.02684e-07 -0.0136123
309 799 399 799 7.08911e-07 6.04281e-07 0.00470399
310 508 374 508 7.78434e-07 6.11597e-07 0.0457728
311 935 589 935 7.2035e-07 6.83046e-07 0
312 216 494 216 6.78553e-07 6.2115e-07 0
313 350 696 350 8.37629e-07 6.74531e-07 0.0890894
314 78 76 78 7.50895e-07 7.00539e-07 -0.0466139
315 124 169 124 7.22997e-07 6.69107e-07 0.00228953
316 692 1005 692 6.77325e-07 6.58184e-07 -0.115246
317 205 523 205 9.67279e-07 6.70057e-07 0.000704511
318 848 464 848 7.9393e-07 7.1611e-07 -0.139567
319 767 768 768 362278 362272 0.499981
320 767 768 768 424977 424967 0.499972
321 767 768 768 424978 424967 0.499971
322 767 768 768 424978 424967 0.499971
323 767 768 768 424978 424967 0.499972
324 767 768 768 424977 424967 0.499973
325 767 768 768 424977 424967 0.499973
326 767 768 768 424978 424967 0.499971
327 775 776 775 362988 362976 0.499965
328 783 784 783 374135 366273 0.478738
329 784 783 784 56342.1 52201.6 -0.379569
330 736 799 736 1683.92 1683.8 -0.040888
331 146 143 146 104162 90147.7 -0.153992
332 144 145 144 214060 213071 0.494839
333 545 544 545 213237 211694 -0.491937
334 545 544 545 172915 172581 -0.497501
335 76 77 76 213959 213583 0.498033
336 765 764 765 213313 210502 -0.485353
337 565 564 565 214515 210258 -0.478209
338 764 765 764 214662 211592 0.484187
339 679 678 679 214816 210246 -0.476566
340 993 992 993 212517 212486 -0.499836
341 653 652 653 213229 212406 -0.495683
342 333 330 333 121859 121352 -0.0521482
343 332 331 332 214566 212805 -0.490893
344 107 106 107 216548 211238 -0.473376
345 221 222 221 213573 212996 0.496972
346 507 898 507 213507 212676 0.493643
347 899 896 899 95562 95501.3 -0.372578
348 400 401 400 213826 212523 0.493198
349 727 726 727 214333 210155 -0.478524
350 728 725 728 133470 132170 0.00836074
351 158 159 158 213060 211746 0.493135
352 312 313 312 216687 209063 0.462048
353 216 217 216 214851 212314 0.486913
354 16 17 16 213915 213725 0.499004
355 516 515 516 213352 210962 -0.487534
356 516 516 516 424972 424972 -0.5
