path,backend,cfo_initial_hz,cfo_final_hz,sample_rate_ratio_initial,sample_rate_ratio_used,sample_rate_error_ppm,chunk_count,chunk_time_avg_us,chunk_time_max_us
/home/aquay/lora-lite-phy/golden_vectors/new_batch/base_clean/tx_sf10_bw125000_cr3_crc1_impl0_ldro0_pay11.cf32,cpp_stream,-122.0703125,15.258789062,1.0,1.0,0.0,25,3914.4174,37319.725
/home/aquay/lora-lite-phy/golden_vectors/new_batch/base_clean/tx_sf10_bw125000_cr3_crc1_impl0_ldro0_pay20.cf32,cpp_stream,-122.0703125,-61.03515625,1.0,1.0,0.0,35,558507.515514286,19470416.166
/home/aquay/lora-lite-phy/golden_vectors/new_batch/base_clean/tx_sf10_bw125000_cr3_crc1_impl0_ldro0_pay21.cf32,cpp_stream,-122.0703125,-91.552734375,1.0,1.0,0.0,70,276920.734385714,19204043.595
/home/aquay/lora-lite-phy/golden_vectors/new_batch/base_clean/tx_sf10_bw125000_cr3_crc1_impl0_ldro0_pay22.cf32,cpp_stream,-122.0703125,-76.293945312,1.0,1.0,0.0,139,165719.02523741,22464885.326
/home/aquay/lora-lite-phy/golden_vectors/new_batch/base_clean/tx_sf10_bw125000_cr4_crc1_impl0_ldro0_pay15.cf32,cpp_stream,-122.0703125,-76.293945312,1.0,1.0,0.0,121,139046.620041322,16246588.281
/home/aquay/lora-lite-phy/golden_vectors/new_batch/base_clean/tx_sf10_bw125000_cr4_crc1_impl0_ldro0_pay9.cf32,cpp_stream,-122.0703125,-76.293945312,1.0,1.0,0.0,89,111661.105977528,9357545.382
/home/aquay/lora-lite-phy/golden_vectors/new_batch/base_clean/tx_sf10_bw250000_cr1_crc1_impl0_ldro0_pay21.cf32,cpp_stream,-244.140625,-122.0703125,1.0,1.0,0.0,51,228261.079,11465996.672
/home/aquay/lora-lite-phy/golden_vectors/new_batch/base_clean/tx_sf10_bw250000_cr1_crc1_impl0_ldro0_pay23.cf32,cpp_stream,-244.140625,-152.587890625,1.0,1.0,0.0,56,245251.16375,13567942.891
/home/aquay/lora-lite-phy/golden_vectors/new_batch/base_clean/tx_sf10_bw250000_cr1_crc1_impl0_ldro0_pay8.cf32,cpp_stream,-244.140625,-122.0703125,1.0,1.0,0.0,71,89873.418042254,5814796.646
/home/aquay/lora-lite-phy/golden_vectors/new_batch/base_clean/tx_sf10_bw250000_cr3_crc1_impl0_ldro0_pay10.cf32,cpp_stream,-244.140625,-213.623046875,1.0,1.0,0.0,25,463228.37096,11526039.897
/home/aquay/lora-lite-phy/golden_vectors/new_batch/base_clean/tx_sf10_bw250000_cr3_crc1_impl0_ldro0_pay19.cf32,cpp_stream,-244.140625,-122.0703125,1.0,1.0,0.0,125,145337.154872,17496110.945
/home/aquay/lora-lite-phy/golden_vectors/new_batch/base_clean/tx_sf10_bw250000_cr3_crc1_impl0_ldro0_pay20.cf32,cpp_stream,-244.140625,-122.0703125,1.0,1.0,0.0,139,155412.708374101,21005066.917
/home/aquay/lora-lite-phy/golden_vectors/new_batch/base_clean/tx_sf10_bw250000_cr3_crc1_impl0_ldro0_pay22.cf32,cpp_stream,-244.140625,-122.0703125,1.0,1.0,0.0,153,157344.120294118,23478513.742
/home/aquay/lora-lite-phy/golden_vectors/new_batch/base_clean/tx_sf10_bw250000_cr4_crc1_impl0_ldro0_pay14.cf32,cpp_stream,-244.140625,0.0,1.0,1.0,0.0,31,2938.594935484,32218.499
/home/aquay/lora-lite-phy/golden_vectors/new_batch/base_clean/tx_sf10_bw250000_cr4_crc1_impl0_ldro0_pay19.cf32,cpp_stream,-244.140625,-152.587890625,1.0,1.0,0.0,153,146799.592150327,21841578.124
/home/aquay/lora-lite-phy/golden_vectors/new_batch/base_clean/tx_sf10_bw250000_cr4_crc1_impl0_ldro0_pay9.cf32,cpp_stream,-244.140625,-213.623046875,1.0,1.0,0.0,23,420934.928,9629464.735
/home/aquay/lora-lite-phy/golden_vectors/new_batch/base_clean/tx_sf10_bw500000_cr1_crc1_impl0_ldro0_pay18.cf32,cpp_stream,-488.28125,-388.28125,1.0,1.0,0.0,51,253263.247647059,12718393.949
/home/aquay/lora-lite-phy/golden_vectors/new_batch/base_clean/tx_sf10_bw500000_cr2_crc1_impl0_ldro0_pay10.cf32,cpp_stream,-488.28125,-338.28125,1.0,1.0,0.0,45,217630.137911111,9616636.822
/home/aquay/lora-lite-phy/golden_vectors/new_batch/base_clean/tx_sf10_bw500000_cr2_crc1_impl0_ldro0_pay13.cf32,cpp_stream,-488.28125,-238.28125,1.0,1.0,0.0,23,3140.569652174,19755.855
/home/aquay/lora-lite-phy/golden_vectors/new_batch/base_clean/tx_sf10_bw500000_cr3_crc1_impl0_ldro0_pay12.cf32,cpp_stream,-488.28125,-388.28125,1.0,1.0,0.0,49,224676.119367347,10838744.244
/home/aquay/lora-lite-phy/golden_vectors/new_batch/base_clean/tx_sf10_bw500000_cr3_crc1_impl0_ldro0_pay15.cf32,cpp_stream,-488.28125,-388.28125,1.0,1.0,0.0,63,255528.118634921,15936404.248
/home/aquay/lora-lite-phy/golden_vectors/new_batch/base_clean/tx_sf10_bw500000_cr3_crc1_impl0_ldro0_pay9.cf32,cpp_stream,-488.28125,-388.28125,1.0,1.0,0.0,42,197779.432142857,8144684.725
/home/aquay/lora-lite-phy/golden_vectors/new_batch/base_clean/tx_sf10_bw500000_cr4_crc1_impl0_ldro0_pay10.cf32,cpp_stream,-488.28125,-388.28125,1.0,1.0,0.0,23,402577.846434783,9202724.913
/home/aquay/lora-lite-phy/golden_vectors/new_batch/base_clean/tx_sf10_bw500000_cr4_crc1_impl0_ldro0_pay18.cf32,cpp_stream,-488.28125,-438.28125,1.0,1.0,0.0,35,592152.122028571,20667447.513
/home/aquay/lora-lite-phy/golden_vectors/new_batch/base_clean/tx_sf10_bw500000_cr4_crc1_impl0_ldro0_pay19.cf32,cpp_stream,-488.28125,11.71875,1.0,1.0,0.0,35,2826.364342857,37256.842
/home/aquay/lora-lite-phy/golden_vectors/new_batch/base_clean/tx_sf11_bw125000_cr1_crc1_impl0_ldro0_pay23.cf32,cpp_stream,0.0,0.0,1.0,1.0,0.0,222,9307.758234234,118523.433
/home/aquay/lora-lite-phy/golden_vectors/new_batch/base_clean/tx_sf11_bw125000_cr2_crc1_impl0_ldro0_pay10.cf32,cpp_stream,0.0,0.0,1.0,1.0,0.0,154,14104.954993506,115428.758
/home/aquay/lora-lite-phy/golden_vectors/new_batch/base_clean/tx_sf11_bw125000_cr2_crc1_impl0_ldro0_pay22.cf32,cpp_stream,0.0,0.0,1.0,1.0,0.0,125,4607.546712,56565.317
/home/aquay/lora-lite-phy/golden_vectors/new_batch/base_clean/tx_sf11_bw125000_cr3_crc1_impl0_ldro0_pay17.cf32,cpp_stream,0.0,0.0,1.0,1.0,0.0,111,5169.848009009,55554.076
/home/aquay/lora-lite-phy/golden_vectors/new_batch/base_clean/tx_sf11_bw125000_cr4_crc1_impl0_ldro0_pay9.cf32,cpp_stream,0.0,0.0,1.0,1.0,0.0,178,10817.550595506,112007.366
/home/aquay/lora-lite-phy/golden_vectors/new_batch/base_clean/tx_sf11_bw250000_cr2_crc1_impl0_ldro0_pay17.cf32,cpp_stream,0.0,0.0,1.0,1.0,0.0,51,3141.035078431,28854.618
/home/aquay/lora-lite-phy/golden_vectors/new_batch/base_clean/tx_sf11_bw250000_cr3_crc1_impl0_ldro0_pay15.cf32,cpp_stream,0.0,0.0,1.0,1.0,0.0,49,3471.721693878,29820.645
/home/aquay/lora-lite-phy/golden_vectors/new_batch/base_clean/tx_sf11_bw250000_cr4_crc1_impl0_ldro0_pay13.cf32,cpp_stream,0.0,0.0,1.0,1.0,0.0,105,6146.588504762,76151.049
/home/aquay/lora-lite-phy/golden_vectors/new_batch/base_clean/tx_sf11_bw250000_cr4_crc1_impl0_ldro0_pay15.cf32,cpp_stream,-122.0703125,-91.552734375,1.0,1.0,0.0,53,570257.722716981,30045185.371
/home/aquay/lora-lite-phy/golden_vectors/new_batch/base_clean/tx_sf11_bw250000_cr4_crc1_impl0_ldro0_pay18.cf32,cpp_stream,0.0,0.0,1.0,1.0,0.0,242,8766.983731405,113121.848
/home/aquay/lora-lite-phy/golden_vectors/new_batch/base_clean/tx_sf11_bw500000_cr1_crc1_impl0_ldro0_pay11.cf32,cpp_stream,-244.140625,-152.587890625,1.0,1.0,0.0,142,115016.433133803,13945085.58
/home/aquay/lora-lite-phy/golden_vectors/new_batch/base_clean/tx_sf11_bw500000_cr1_crc1_impl0_ldro0_pay19.cf32,cpp_stream,0.0,0.0,1.0,1.0,0.0,182,12380.694456044,127844.079
/home/aquay/lora-lite-phy/golden_vectors/new_batch/base_clean/tx_sf11_bw500000_cr1_crc1_impl0_ldro0_pay20.cf32,cpp_stream,0.0,0.0,1.0,1.0,0.0,222,9364.243810811,112709.883
/home/aquay/lora-lite-phy/golden_vectors/new_batch/base_clean/tx_sf11_bw500000_cr1_crc1_impl0_ldro0_pay8.cf32,cpp_stream,0.0,0.0,1.0,1.0,0.0,61,9368.479770492,59669.847
/home/aquay/lora-lite-phy/golden_vectors/new_batch/base_clean/tx_sf11_bw500000_cr2_crc1_impl0_ldro0_pay20.cf32,cpp_stream,0.0,0.0,1.0,1.0,0.0,226,9294.212823009,113382.532
/home/aquay/lora-lite-phy/golden_vectors/new_batch/base_clean/tx_sf11_bw500000_cr3_crc1_impl0_ldro0_pay10.cf32,cpp_stream,0.0,0.0,1.0,1.0,0.0,166,12447.20523494,113538.042
/home/aquay/lora-lite-phy/golden_vectors/new_batch/base_clean/tx_sf11_bw500000_cr3_crc1_impl0_ldro0_pay13.cf32,cpp_stream,-244.140625,-122.0703125,1.0,1.0,0.0,194,134710.117778351,24132875.585
/home/aquay/lora-lite-phy/golden_vectors/new_batch/base_clean/tx_sf11_bw500000_cr3_crc1_impl0_ldro0_pay23.cf32,cpp_stream,0.0,0.0,1.0,1.0,0.0,278,7666.634798561,112195.948
